Time;Home Team;Away Team;Result
vrijdag 28.07.2017 20:30;Antwerp;RSC Anderlecht;0 - 0
zaterdag 29.07.2017 18:00;Sporting Lokeren;Club Brugge;0 - 4
zaterdag 29.07.2017 20:00;KAS Eupen;SV Zulte Waregem;0 - 5
zaterdag 29.07.2017 20:00;KRC Genk;Waasland-Beveren;3 - 3
zaterdag 29.07.2017 20:30;Sporting Charleroi;KV Kortrijk;1 - 0
zondag 30.07.2017 14:30;KV Mechelen;Standard de Liège;1 - 1
zondag 30.07.2017 18:00;STVV;KAA Gent;3 - 2
zondag 30.07.2017 20:00;KV Oostende;RE Mouscron;0 - 1
vrijdag 04.08.2017 20:30;Standard de Liège;KRC Genk;2 - 1
zaterdag 05.08.2017 18:00;RE Mouscron;Sporting Charleroi;2 - 5
zaterdag 05.08.2017 20:00;KV Kortrijk;Sporting Lokeren;1 - 0
zaterdag 05.08.2017 20:00;Waasland-Beveren;KV Mechelen;2 - 2
zaterdag 05.08.2017 20:30;SV Zulte Waregem;STVV;2 - 0
zondag 06.08.2017 14:30;KAA Gent;Antwerp;0 - 1
zondag 06.08.2017 18:00;RSC Anderlecht;KV Oostende;1 - 0
zondag 06.08.2017 20:00;Club Brugge;KAS Eupen;3 - 1
vrijdag 11.08.2017 20:30;SV Zulte Waregem;Club Brugge;1 - 2
zaterdag 12.08.2017 18:00;KV Mechelen;KAA Gent;1 - 1
zaterdag 12.08.2017 20:00;KAS Eupen;KV Kortrijk;1 - 2
zaterdag 12.08.2017 20:00;Sporting Lokeren;RE Mouscron;0 - 2
zaterdag 12.08.2017 20:30;KV Oostende;Waasland-Beveren;0 - 3
zondag 13.08.2017 14:30;Antwerp;KRC Genk;3 - 5
zondag 13.08.2017 18:00;Sporting Charleroi;RSC Anderlecht;2 - 0
zondag 13.08.2017 20:00;STVV;Standard de Liège;1 - 0
vrijdag 18.08.2017 20:30;Standard de Liège;SV Zulte Waregem;0 - 4
zaterdag 19.08.2017 18:00;KRC Genk;Sporting Charleroi;0 - 1
zaterdag 19.08.2017 20:00;Waasland-Beveren;Sporting Lokeren;2 - 3
zaterdag 19.08.2017 20:00;KAS Eupen;KV Oostende;2 - 1
zaterdag 19.08.2017 20:30;KV Mechelen;Antwerp;1 - 2
zondag 20.08.2017 14:30;RSC Anderlecht;STVV;2 - 3
zondag 20.08.2017 18:00;KV Kortrijk;Club Brugge;1 - 2
zondag 20.08.2017 20:00;RE Mouscron;KAA Gent;3 - 2
vrijdag 25.08.2017 20:30;KV Kortrijk;RE Mouscron;1 - 1
zaterdag 26.08.2017 18:00;Sporting Charleroi;SV Zulte Waregem;3 - 2
zaterdag 26.08.2017 20:00;Sporting Lokeren;KAS Eupen;3 - 0
zaterdag 26.08.2017 20:00;STVV;Waasland-Beveren;1 - 0
zaterdag 26.08.2017 20:30;KRC Genk;KV Mechelen;1 - 0
zondag 27.08.2017 14:30;Club Brugge;Standard de Liège;4 - 0
zondag 27.08.2017 18:00;KAA Gent;RSC Anderlecht;0 - 0
zondag 27.08.2017 20:00;KV Oostende;Antwerp;3 - 4
vrijdag 08.09.2017 20:30;RSC Anderlecht;Sporting Lokeren;3 - 2
zaterdag 09.09.2017 18:00;RE Mouscron;Club Brugge;2 - 1
zaterdag 09.09.2017 20:00;Antwerp;STVV;1 - 1
zaterdag 09.09.2017 20:00;Waasland-Beveren;KAS Eupen;5 - 1
zaterdag 09.09.2017 20:30;SV Zulte Waregem;KV Kortrijk;2 - 2
zondag 10.09.2017 14:30;KAA Gent;KRC Genk;1 - 1
zondag 10.09.2017 18:00;Standard de Liège;Sporting Charleroi;0 - 0
zondag 10.09.2017 20:00;KV Mechelen;KV Oostende;1 - 1
vrijdag 15.09.2017 20:30;Club Brugge;KV Mechelen;2 - 0
zaterdag 16.09.2017 18:00;KV Kortrijk;RSC Anderlecht;2 - 2
zaterdag 16.09.2017 20:00;Sporting Lokeren;Antwerp;1 - 1
zaterdag 16.09.2017 20:00;Sporting Charleroi;Waasland-Beveren;2 - 2
zaterdag 16.09.2017 20:30;STVV;KRC Genk;2 - 1
zondag 17.09.2017 14:30;SV Zulte Waregem;RE Mouscron;2 - 1
zondag 17.09.2017 18:00;KV Oostende;KAA Gent;0 - 2
zondag 17.09.2017 20:00;KAS Eupen;Standard de Liège;1 - 1
vrijdag 22.09.2017 20:30;Antwerp;KV Kortrijk;3 - 0
zaterdag 23.09.2017 18:00;KRC Genk;KV Oostende;1 - 1
zaterdag 23.09.2017 20:00;RE Mouscron;KAS Eupen;3 - 2
zaterdag 23.09.2017 20:00;KV Mechelen;STVV;2 - 0
zaterdag 23.09.2017 20:30;Waasland-Beveren;RSC Anderlecht;1 - 2
zondag 24.09.2017 14:30;KAA Gent;SV Zulte Waregem;0 - 1
zondag 24.09.2017 18:00;Sporting Charleroi;Club Brugge;1 - 2
zondag 24.09.2017 20:00;Standard de Liège;Sporting Lokeren;2 - 1
vrijdag 29.09.2017 20:30;STVV;Sporting Charleroi;0 - 1
zaterdag 30.09.2017 18:00;KAS Eupen;KRC Genk;3 - 3
zaterdag 30.09.2017 20:00;RE Mouscron;KV Mechelen;2 - 2
zaterdag 30.09.2017 20:00;Waasland-Beveren;Antwerp;3 - 0
zaterdag 30.09.2017 20:30;KV Kortrijk;KV Oostende;1 - 2
zondag 01.10.2017 14:30;Club Brugge;KAA Gent;2 - 1
zondag 01.10.2017 18:00;RSC Anderlecht;Standard de Liège;1 - 0
zondag 01.10.2017 20:00;SV Zulte Waregem;Sporting Lokeren;1 - 3
vrijdag 13.10.2017 20:30;KV Mechelen;RSC Anderlecht;3 - 4
zaterdag 14.10.2017 18:00;Sporting Charleroi;KAS Eupen;2 - 2
zaterdag 14.10.2017 20:00;KRC Genk;RE Mouscron;1 - 1
zaterdag 14.10.2017 20:00;Sporting Lokeren;STVV;1 - 1
zaterdag 14.10.2017 20:30;KAA Gent;Waasland-Beveren;2 - 0
zondag 15.10.2017 14:30;Standard de Liège;KV Kortrijk;3 - 1
zondag 15.10.2017 18:00;KV Oostende;Club Brugge;2 - 3
zondag 15.10.2017 20:00;Antwerp;SV Zulte Waregem;3 - 0
